Diggle (1990) 
c
c     DATA-SETS FROM DIGGLE, P.J. (1990). TIME SERIES : A BIOSTATISTICAL
c     INTRODUCTION. Oxford University Press. 
c
c
c     Table A.1 Lutenizing hormone.
c
c     col 1 : serial number
c     col 2 : Cycle 1, early follicular phase (not included in book)
c     col 3 : Cycle 1, late follicular phase
  59  85 121 146 181
  54  71  90 110 138
  56  75 108 151 189
  59  85 116 148 177
  57  72  97 120 144
  52  73  97 116 140
  52  70 105 138 171
  61  86 109 120 129
  59  80 101 111 122
  53  79 100 106 133
c
c     (c) thiouracil
c
  59  88 100 111 122
  51  75 101 123 140
  51  75  92 100 119
  56  78  95 103 108
  58  69  93 116 140
  46  61  78  90 107
  53  72  89 104 122
c
c     Table A.6. Protein content of milk samples.
c
c     (a) barley
c
 3.63 3.57 3.47 3.65 3.89 3.73 3.77 3.90 3.78 3.82 3.83 3.71 4.10 4.02 4.13 4.08 4.22 4.44 4.30
 3.24 3.25 3.29 3.09 3.38 3.33 3.00 3.16 3.34 3.32 3.31 3.27 3.41 3.45 3.12 3.42 3.40 3.17 3.00
 3.98 3.60 3.43 3.30 3.29 3.25 2.93 3.20 3.27 3.22 2.93 2.92 2.82 2.64 0.00 0.00 0.00 0.00 0.00
 3.66 3.50 3.05 2.90 2.72 3.11 3.05 2.80 3.20 3.18 3.14 3.18 3.24 3.37 3.30 3.40 3.35 3.28 0.00
 4.34 3.76 3.68 3.51 3.45 3.53 3.60 3.77 3.90 3.87 3.61 3.85 3.94 3.87 3.60 3.06 3.47 3.50 3.42
 4.36 3.71 3.42 3.95 4.06 3.73 3.92 3.99 3.70 3.88 3.71 3.62 3.74 3.42 0.00 0.00 0.00 0.00 0.00
 4.17 3.60 3.52 3.10 3.78 3.42 3.66 3.64 3.83 3.73 3.72 3.65 3.50 3.32 2.95 3.34 3.51 3.17 0.00
 4.40 3.86 3.56 3.32 3.64 3.57 3.47 3.97 0.00 3.78 3.98 3.90 4.05 4.06 4.05 3.92 3.65 3.60 3.74
 3.40 3.42 3.51 3.39 3.35 3.13 3.21 3.50 3.55 3.28 3.75 3.55 3.53 3.52 3.77 3.77 3.74 4.00 3.87
 3.75 3.89 3.65 3.42 3.32 3.27 3.34 3.35 3.09 3.65 3.53 3.50 3.63 3.91 3.73 3.71 4.18 3.97 4.06
 4.20 3.59 3.55 3.27 3.19 3.60 3.50 3.55 3.60 3.75 3.75 3.75 3.89 3.87 3.60 3.68 3.68 3.56 3.34
 4.02 3.76 3.60 3.53 3.95 3.26 3.73 3.96 0.00 3.70 0.00 3.45 3.50 3.13 0.00 0.00 0.00 0.00 0.00
 4.02 3.90 3.73 3.55 3.71 3.40 3.49 3.74 3.61 3.42 3.46 3.40 3.38 3.13 0.00 0.00 0.00 0.00 0.00
 3.90 3.33 3.25 3.22 3.35 3.24 3.16 3.33 3.12 2.93 2.84 3.07 3.02 2.75 0.00 0.00 0.00 0.00 0.00
 3.81 4.00 3.57 3.47 3.52 3.63 3.45 3.50 3.71 3.55 3.13 3.04 3.31 3.22 2.92 0.00 0.00 0.00 0.00
 3.62 3.22 3.62 3.02 3.28 3.15 3.52 3.22 3.45 3.51 3.38 3.00 2.94 3.52 3.48 3.02 0.00 0.00 0.00
 3.66 3.66 3.28 3.10 2.66 3.00 3.15 3.01 3.50 3.29 3.16 3.33 3.50 3.46 3.48 3.98 3.70 3.36 3.55
 4.44 3.85 3.55 3.22 3.40 3.28 3.42 3.35 3.01 3.55 3.70 3.73 3.65 3.78 3.82 3.75 3.95 3.85 3.72
 4.23 3.75 3.82 3.60 4.09 3.84 3.62 3.36 3.65 3.41 3.15 3.68 3.54 3.75 3.72 4.05 3.60 3.88 3.98
 3.82 0.00 3.27 3.33 3.25 2.97 3.57 3.43 3.50 3.58 3.70 3.55 3.58 3.70 3.60 3.42 3.33 3.53 3.40
 3.53 3.10 3.90 3.48 3.35 3.35 3.65 3.56 3.27 3.61 3.66 3.47 3.34 3.32 3.22 3.18 0.00 0.00 0.00
 4.47 3.86 3.34 3.49 3.74 3.24 3.71 3.46 3.88 3.60 4.00 3.83 3.80 4.12 3.98 3.77 3.52 3.50 3.42
 3.93 3.79 3.68 3.58 3.76 3.66 3.57 3.85 3.75 3.37 3.00 3.24 3.44 3.23 0.00 0.00 0.00 0.00 0.00
 3.27 3.84 3.46 3.44 3.40 3.50 3.63 3.47 3.32 3.47 3.40 3.27 3.74 3.76 3.68 3.68 3.93 3.80 3.52
 3.32 3.61 3.25 3.48 3.58 3.47 3.60 3.51 3.74 3.50 3.08 2.77 3.22 3.35 3.14 0.00 0.00 0.00 0.00
c
c     (b) mixed
c
 3.38 3.38 3.10 3.09 3.15 2.77 3.40 3.25 3.35 3.57 3.80 3.70 3.44 3.51 3.78 3.52 3.26 3.52 3.25
 3.80 3.51 3.19 3.11 3.35 3.46 3.20 3.52 3.66 3.87 3.85 3.90 4.06 3.93 3.40 3.85 3.93 3.52 3.62
 4.17 3.71 3.32 3.10 3.07 3.11 3.29 3.00 3.32 3.25 3.50 3.31 3.51 3.54 3.45 3.59 3.38 3.44 3.18
 4.59 3.86 3.62 3.60 3.65 3.75 3.71 3.73 3.62 3.63 3.40 3.44 3.45 3.20 0.00 0.00 0.00 0.00 0.00
 4.07 3.45 3.56 3.10 3.92 3.20 3.28 3.36 3.28 3.25 2.99 3.10 3.05 2.70 0.00 0.00 0.00 0.00 0.00
 4.32 3.37 3.47 3.46 3.31 3.57 3.38 3.01 3.66 3.46 3.21 3.76 3.44 3.47 3.45 3.89 3.65 3.59 3.80
 3.56 3.14 3.60 3.36 3.37 3.44 3.57 3.55 3.57 3.68 3.58 3.65 3.29 3.53 3.26 2.89 0.00 0.00 0.00
 3.67 3.33 3.20 2.72 2.95 3.07 2.90 3.56 3.19 3.35 3.26 3.40 3.18 3.43 3.57 3.49 3.59 3.27 3.48
 4.15 3.55 3.27 3.27 3.65 3.58 3.55 3.47 3.48 3.55 3.30 3.32 3.22 2.97 0.00 0.00 0.00 0.00 0.00
 3.51 3.90 2.75 3.37 3.51 3.64 3.55 3.60 3.70 3.60 3.65 3.55 3.30 3.15 2.90 0.00 0.00 0.00 0.00
 4.20 3.31 3.30 3.32 3.29 3.17 3.04 3.09 3.14 3.04 3.46 3.12 3.30 3.09 3.45 3.47 3.30 3.45 3.42
 4.12 3.56 3.58 3.47 3.20 3.50 3.40 3.56 3.02 3.25 3.44 3.52 3.72 3.55 3.65 3.30 3.35 3.20 2.84
 3.52 3.64 3.10 3.19 2.95 2.75 3.15 3.20 3.03 3.53 3.42 3.46 3.33 3.53 3.59 4.42 3.99 3.88 3.80
 4.08 3.62 3.55 3.43 3.13 3.28 3.13 3.28 3.02 3.48 3.34 3.25 3.38 3.68 3.40 3.54 3.66 3.52 3.40
 4.02 3.45 3.28 3.31 3.37 3.26 3.25 3.48 3.23 3.03 2.80 3.17 3.04 3.05 0.00 0.00 0.00 0.00 0.00
 3.18 3.12 2.87 3.04 2.88 3.08 3.15 3.22 3.20 3.46 3.33 3.26 3.40 3.36 3.97 3.20 3.10 3.19 3.10
 4.11 4.09 3.54 3.15 3.57 3.23 3.10 3.30 3.60 3.74 3.55 3.66 3.68 3.81 3.97 3.78 3.41 3.15 3.32
 3.27 3.10 3.14 2.80 3.34 3.11 3.17 3.15 3.52 3.35 3.30 3.55 0.00 3.11 2.94 3.25 3.05 2.95 0.00
 3.27 3.40 3.50 3.38 3.29 3.60 3.50 3.33 3.66 3.68 3.20 3.10 3.32 3.26 3.08 0.00 0.00 0.00 0.00
 3.97 3.60 3.50 3.50 3.58 3.58 3.57 3.65 3.71 3.37 3.15 3.20 3.32 3.01 0.00 0.00 0.00 0.00 0.00
 3.31 3.42 3.24 3.38 3.39 3.70 3.47 3.49 3.64 3.50 3.27 2.95 3.04 3.21 3.04 0.00 0.00 0.00 0.00
 4.12 3.25 3.14 3.00 3.20 3.55 3.45 3.63 3.50 3.90 3.30 3.70 3.92 3.87 3.25 3.12 3.04 3.45 3.38
 3.92 3.55 3.74 3.46 3.45 3.48 3.26 3.60 3.50 2.86 3.65 3.17 3.18 3.05 0.00 0.00 0.00 0.00 0.00
 3.78 3.40 3.17 3.28 3.27 3.69 3.24 3.30 3.24 2.91 3.00 2.85 3.41 3.30 3.22 3.55 3.62 3.59 3.45
 4.00 3.74 3.48 3.75 3.78 3.77 3.70 3.91 3.94 3.94 3.10 3.10 3.30 3.27 0.00 0.00 0.00 0.00 0.00
 4.37 4.06 3.77 3.40 3.30 3.27 3.05 3.10 3.72 3.25 3.55 3.70 3.65 3.80 3.78 4.08 4.10 3.57 0.00
 3.79 4.07 3.35 3.46 3.20 3.99 3.54 0.00 3.25 3.30 3.18 3.21 3.75 3.67 3.77 3.76 3.75 3.92 3.50
c
c     (c) lupins
c
 3.69 3.38 3.00 3.50 3.09 3.30 3.07 3.22 2.97 3.60 3.42 3.59 3.77 3.74 3.70 3.78 3.78 3.77 3.53
 4.20 3.35 3.37 3.07 2.82 3.05 3.12 2.85 3.20 3.38 3.25 3.26 3.30 3.17 3.40 3.41 3.28 3.42 3.25
 3.31 3.04 2.80 3.17 2.92 2.84 2.87 3.13 2.87 3.05 3.00 3.26 3.22 3.31 3.20 3.18 3.09 3.30 3.12
 3.13 3.34 3.34 3.25 2.79 3.00 3.11 3.27 3.59 3.28 3.49 3.60 3.63 3.60 3.60 3.10 3.38 3.34 3.03
 3.73 3.61 3.82 3.61 3.45 3.36 3.02 3.37 3.44 3.00 3.42 3.18 3.37 3.45 3.64 3.68 3.56 3.63 3.46
 4.32 3.70 3.62 3.50 3.57 3.28 3.38 3.40 3.33 3.45 3.22 3.28 3.24 2.93 0.00 0.00 0.00 0.00 0.00
 3.04 2.89 2.78 2.84 2.61 3.00 3.08 3.12 2.80 3.25 3.13 3.15 3.04 2.95 3.08 2.76 2.89 2.75 2.66
 3.84 3.51 3.39 2.88 3.41 3.49 3.30 3.37 3.47 3.30 3.21 3.64 3.55 3.43 3.17 3.23 3.15 2.95 0.00
 3.98 3.30 3.02 2.99 2.84 2.92 3.08 2.85 3.17 3.15 3.15 2.87 3.07 3.05 3.10 3.21 3.13 3.17 2.78
 4.18 4.12 3.84 3.65 3.65 3.54 3.52 3.41 3.44 3.32 3.23 2.70 3.03 2.88 2.68 0.00 0.00 0.00 0.00
 4.20 3.40 3.55 3.45 3.45 3.30 3.25 3.43 3.38 3.07 2.94 3.17 3.18 3.00 0.00 0.00 0.00 0.00 0.00
 4.10 3.59 3.52 3.43 0.00 3.33 3.57 3.90 3.74 3.51 3.29 3.31 3.31 3.22 0.00 0.00 0.00 0.00 0.00
 3.25 3.75 3.42 3.38 3.52 2.72 3.38 3.75 3.90 3.76 4.22 3.14 3.30 3.35 3.17 0.00 0.00 0.00 0.00
 3.34 3.00 3.10 3.31 3.30 3.26 3.00 3.12 3.00 2.45 2.55 2.97 2.79 2.88 0.00 0.00 0.00 0.00 0.00
 3.50 3.35 3.05 2.92 2.83 3.15 3.03 2.95 3.35 3.11 2.57 2.67 3.04 3.05 2.87 0.00 0.00 0.00 0.00
 4.13 3.12 2.96 2.86 2.74 3.24 3.06 2.86 2.90 3.20 3.02 2.87 3.20 3.14 2.84 2.75 2.96 2.90 2.71
 3.21 3.52 3.43 3.45 3.48 4.30 0.00 0.00 3.96 0.00 3.57 3.29 3.52 3.35 3.20 0.00 0.00 0.00 0.00
 3.90 3.19 3.53 3.45 3.31 3.45 2.83 3.50 3.60 3.76 3.60 3.18 3.00 3.29 3.15 2.96 0.00 0.00 0.00
 3.50 3.12 3.33 3.22 3.20 2.82 2.74 2.77 3.02 2.80 3.08 3.04 3.17 3.26 3.51 3.30 3.26 3.70 3.40
 4.10 3.42 3.58 3.11 3.06 3.10 3.13 3.01 3.05 3.05 2.88 3.52 3.58 3.36 3.40 3.58 3.19 3.29 3.65
 2.69 3.39 3.20 3.06 3.46 3.14 3.05 2.94 2.88 3.00 3.25 3.38 3.20 3.13 3.27 3.42 3.04 3.20 3.52
 4.30 3.37 3.47 3.37 3.10 3.64 0.00 3.55 3.60 3.55 3.45 3.59 3.75 3.75 3.18 2.92 3.32 3.31 3.18
 4.06 3.85 3.93 4.00 4.20 3.90 3.65 4.13 3.84 3.46 3.22 3.33 3.37 3.20 0.00 0.00 0.00 0.00 0.00
 3.88 3.81 3.44 3.14 3.10 3.35 3.27 3.10 3.00 3.12 3.15 2.90 3.51 3.21 3.40 3.49 3.60 3.45 3.50
 3.95 3.22 3.38 3.20 3.40 3.34 3.20 3.50 3.35 3.25 2.97 3.14 3.20 3.04 0.00 0.00 0.00 0.00 0.00
 3.67 3.26 3.35 3.28 2.94 3.30 3.27 3.61 3.60 3.78 3.55 3.55 4.00 3.87 3.71 3.47 3.15 3.35 3.09
 4.27 3.95 3.85 3.85 3.95 3.45 3.70 3.95 3.92 3.34 3.45 3.19 3.67 3.25 0.00 0.00 0.00 0.00 0.00
c
c     Table A.7. Annual numbers of lynx.
c
   269   321   585   871  1475  2821  3928  5943  4950  2577
   523    98   184   279   409  2285  2685  3409  1824   409
   151    45    68   213   546  1033  2129  2536   957   361
   377   225   360   731  1638  2725  2871  2119   684   299
   236   245   552  1623  3311  6721  4254   687   255   473
   358   784  1594  1676  2251  1426   756   299   201   229
   469   736  2042  2811  4431  2511   389    73    39    49
    59   188   377  1292  4031  3495   587   105   153   387
   758  1307  3465  6991  6313  3794  1836   345   382   808
  1388  2713  3800  3091  2985  3790   674    81    80   108
   229   399  1132  2432  3574  2935  1537   529   485   662
  1000  1590  2657  3396
