	Yrwk	Orr	Vvd	Cda	D66	Pvda	Glef	trend	wnOrr	wnVvd	wnCda	wnD66	wnPvda	wnGlef
1982-51	8251	5.9444	4.7761	4.9209	3.6	2.9146	2.3077	0.0259	18	139	186	15	259	42
1982-52	8276	5.88525	4.80765	4.90555	3.53335	2.94725	2.4569	0.026	0	0	0	0	0	0
1983-1	8301	5.8261	4.8392	4.8902	3.4667	2.9799	2.6061	0.0261	24	152	187	17	272	34
1983-2	8302	5.5862	4.9337	4.7629	3.2857	2.8431	2.6607	0.0262	31	211	202	22	292	60
1983-3	8303	5.7143	4.8037	4.8737	3.7083	2.9113	2.3793	0.0263	29	174	212	25	308	62
1983-4	8304	6	4.8483	4.844	3.8462	2.9537	2.4179	0.0264	29	153	223	27	289	68
1983-5	8305	6	5	4.8394	3.5769	2.9835	2.4694	0.0265	22	173	230	28	255	51
1983-6	8306	5.88	4.956	4.8629	3.5357	2.9483	2.6182	0.0266	26	191	210	31	243	58
1983-7	8307	5.815	4.8591	4.88795	3.74005	2.91835	2.682	0.0267	21	152	199	18	255	61
1983-8	8308	5.75	4.7622	4.913	3.9444	2.8884	2.7458	0.0268	0	0	0	0	0	0
1983-9	8309	5.5484	4.9543	4.9598	3.4545	2.8473	2.5217	0.0269	31	208	233	24	272	73
1983-10	8310	5.5909	4.9048	4.8593	3.3889	2.8531	2.3273	0.027	23	179	216	18	255	61
1983-11	8311	5.9615	4.8903	4.6919	3.5	2.8814	2.1613	0.0271	30	167	207	21	269	64
1983-12	8312	5.8333	5.0824	4.836	3.4667	2.8047	2.4423	0.0272	25	192	196	30	226	54
1983-13	8313	5.6471	4.9137	4.7833	3.4	2.835	2.4571	0.0273	18	149	193	20	220	37
1983-14	8314	5.4615	4.8333	4.9484	3.5714	2.9836	2.6216	0.0274	28	140	162	21	193	40
1983-15	8315	5.5455	5.0625	4.7676	3.8667	2.9556	2.2941	0.0275	23	151	197	15	234	54
1983-16	8316	5.8636	4.8133	4.7607	3.4706	2.902	2.4308	0.0276	23	155	176	19	259	67
1983-17	8317	5.5217	4.8591	4.7212	3.84	2.9677	2.2692	0.0277	24	157	177	25	227	54
1983-18	8318	5.625	4.9389	4.8618	3.4359	2.9345	2.375	0.0278	57	372	361	40	477	124
1983-19	8319	5.7419	4.9833	5.0207	3.7931	2.9179	2.5352	0.0279	31	185	258	31	280	74
1983-20	8320	5.5185	4.9603	4.7789	3.5	2.9138	2.4423	0.028	29	157	206	18	243	54
1983-21	8321	5.9565	4.8652	4.8182	3.6522	2.9231	2.2745	0.0281	23	146	165	24	247	53
1983-22	8322	5.5581	4.809	4.8701	3.7	2.987	2.5085	0.0282	45	185	184	33	237	60
1983-23	8323	5.7742	4.9167	4.8737	3.4783	2.8879	2.5385	0.0283	33	163	202	25	233	67
1983-24	8324	5.92	4.8811	4.7882	3.8824	2.9237	2.6383	0.0284	26	155	214	18	246	48
1983-25	8325	5.6923	4.9032	4.9155	3.6207	3	2.3281	0.0285	32	195	225	29	334	67
1983-26	8326	5.8519	4.9012	4.7095	3.7083	3.0535	2.451	0.0286	29	167	194	25	310	52
1983-27	8327	6	4.9363	4.8788	3.56	2.9767	2.5246	0.0287	28	166	211	25	271	66
1983-28	8328	5.7083	4.744	4.911	3.5	2.907	2.4634	0.0288	25	134	151	24	218	44
1983-29	8329	5.5333	5.073	4.8827	3.5	3.0098	2.6458	0.0289	32	143	179	20	212	51
1983-30	8330	5.8571	5.0066	4.8852	3.6667	3.0838	2.15	0.029	22	156	194	15	197	43
1983-31	8331	5.7717	4.98245	4.8691	3.57575	2.9788	2.43785	0.0291	0	0	0	0	0	0
1983-32	8332	5.6863	4.9583	4.853	3.4848	2.8738	2.7257	0.0292	55	304	326	33	427	116
1983-33	8333	5.641	4.8313	4.825	3.85	2.9069	2.3733	0.0293	39	177	211	21	257	77
1983-34	8334	5.7333	4.8495	4.8017	3.875	2.872	2.5763	0.0294	34	190	244	16	266	61
1983-35	8335	5.8378	4.9205	4.7513	3.75	3.1389	2.5217	0.0295	38	159	205	24	230	70
1983-36	8336	5.9524	4.8116	5.0798	3.7368	3.0462	2.625	0.0296	21	145	201	20	199	56
1983-37	8337	5.4667	4.791	4.7803	3.5217	2.9522	2.4583	0.0297	15	141	189	23	242	52
1983-38	8338	5.7879	4.933	4.9733	3.55	3.0746	2.4	0.0298	35	217	328	20	380	93
1983-39	8339	5.8571	4.7863	4.9257	3.8571	3.1368	2.3448	0.0299	24	123	184	23	223	61
1983-40	8340	5.6538	4.7874	5.0141	3.8571	3.0591	2.5952	0.03	27	132	151	21	247	42
1983-41	8341	5.6389	4.9211	4.9138	3.7	3.0234	2.3373	0.0301	39	158	188	20	314	86
1983-42	8342	5.8333	5.0161	4.7966	3.7143	3.0554	2.3014	0.0302	20	130	186	22	288	78
1983-43	8343	5.3514	4.8897	4.8443	3.7692	3.0949	2.507	0.0303	39	147	177	14	309	71
1983-44	8344	5.9032	4.9179	4.8729	3.5455	2.9935	2.3833	0.0304	31	139	191	22	326	63
1983-45	8345	5.3889	5.0484	4.8917	3.6364	2.9554	2.413	0.0305	20	129	169	11	235	49
1983-46	8346	5.4688	4.9867	4.875	3.5625	3.0576	2.2414	0.0306	35	158	198	17	289	60
1983-47	8347	5.5484	5.0462	4.8033	3.8125	2.9823	2.6724	0.0307	32	134	196	18	295	59
1983-48	8348	6	4.8793	5.0176	3.5263	3.0538	2.5517	0.0308	26	120	178	20	272	59
1983-49	8349	5.5385	4.9924	5.0432	3.4615	3.1041	2.3455	0.0309	28	134	147	16	236	55
1983-50	8350	5.8214	4.8407	5	3.5333	3.083	2.3519	0.031	29	124	162	15	242	57
1983-51	8351	5.6207	4.9541	4.8794	4.1111	2.9679	2.3774	0.0311	30	114	151	18	262	55
1983-52	8352	6.0435	4.9	4.8938	3.625	3.1362	2.5581	0.0312	23	102	169	16	224	44
1984-1	8401	5.5652	4.9619	5.0115	3.5385	2.9925	2.9	0.0313	24	108	184	14	281	41
1984-2	8402	5.5185	5.0909	4.7745	3.8125	3.0863	2.4167	0.0314	28	126	216	16	271	77
1984-3	8403	5.7391	5.0738	4.7619	3.24	2.9684	2.3667	0.0315	23	151	197	25	297	61
1984-4	8404	5.6667	4.8862	5.0299	3.7917	3.1076	2.3043	0.0316	18	124	172	24	260	49
1984-5	8405	5.5122	4.8014	4.8325	3.25	3.1325	2.7627	0.0317	42	151	213	18	328	59
1984-6	8406	5.5417	4.8936	4.8611	3.5263	3.0669	2.3714	0.0318	26	144	190	19	310	73
1984-7	8407	6.1935	4.7123	4.87	3.5833	2.8684	2.5932	0.0319	32	150	211	28	280	62
1984-8	8408	5.375	4.8589	4.8387	3.5909	2.9761	2.6029	0.032	33	170	225	23	266	68
1984-9	8409	5.7333	4.9091	4.8757	3.6818	3.0117	2.4805	0.0321	31	138	184	22	274	81
1984-10	8410	5.75	5.0909	4.7692	3.6842	3.0844	2.4545	0.0322	30	117	164	19	245	55
1984-11	8411	6.1538	4.9231	4.7876	3.875	3.0646	2.566	0.0323	27	147	207	16	308	56
1984-12	8412	5.7714	4.7561	4.9132	3.5385	3.0278	2.1467	0.0324	38	172	232	13	336	79
1984-13	8413	5.5294	4.9767	4.9944	3.5789	3.1047	2.4576	0.0325	17	136	198	19	295	61
1984-14	8414	5.775	5.042	5.0162	3.8889	3.0865	2.7463	0.0326	40	151	194	10	282	67
1984-15	8415	5.4	4.8182	4.7104	3.1765	2.9373	2.2419	0.0327	22	138	191	17	266	62
1984-16	8416	5.6333	5.0365	4.8977	3.8889	3.0547	2.3833	0.0328	31	145	180	10	272	62
1984-17	8417	5.4333	4.9316	4.625	3.6875	3.0321	2.6364	0.0329	30	120	177	18	256	35
1984-18	8418	5.963	4.9712	4.8655	3.4375	2.9878	2.7209	0.033	29	151	181	16	263	52
1984-19	8419	5.619	4.9667	4.7809	3.55	3.0471	2.6852	0.0331	42	123	188	20	275	59
1984-20	8420	5.5455	4.92	4.9266	3.75	2.9744	2.5574	0.0332	24	155	189	16	282	61
1984-21	8421	5.8333	4.7952	4.9471	3.7917	3.1306	2.5738	0.0333	39	176	203	27	335	65
1984-22	8422	5.8611	5.0199	4.8146	4.0769	3.076	2.5738	0.0334	39	153	189	13	267	62
1984-23	8423	5.6	4.8814	4.8235	3.3846	3.0153	2.5192	0.0335	21	124	162	13	271	52
1984-24	8424	5.5714	4.912	4.7657	3.619	2.9856	2.6279	0.0336	30	133	185	23	298	45
1984-25	8425	5.3667	4.8644	4.801	3.6	3.0308	2.6667	0.0337	31	125	208	18	318	49
1984-26	8426	5.74	4.8455	4.8669	3.4839	3.0393	2.2794	0.0338	53	258	359	34	489	72
1984-27	8427	5.56	4.844	4.6761	3.4737	2.991	2.6538	0.0339	27	113	184	20	237	55
1984-28	8428	5.8649	4.8634	4.8223	3.6364	3.0637	2.4082	0.034	41	195	256	22	378	103
1984-29	8429	5.6538	4.9	4.735	3.7143	2.8957	2.3864	0.0341	27	124	202	14	237	45
1984-30	8430	5.6522	4.8654	4.841	3.8571	3.1217	2.4907	0.0342	52	273	367	29	535	115
1984-31	8431	5.6957	4.981	4.7625	3.7143	3.0094	2.5641	0.0343	23	119	176	7	234	41
1984-32	8432	5.8571	4.6579	4.7577	3.9091	3.0446	2.5172	0.0344	22	119	201	11	282	58
1984-33	8433	5.7451	4.8935	4.8333	3.871	3.0474	2.4479	0.0345	53	274	362	32	535	100
1984-34	8434	5.4615	4.8614	4.7557	3.9231	3.0836	2.5385	0.0346	29	106	185	15	298	54
1984-35	8435	5.7	4.8633	4.6935	3.6923	3.1552	2.5333	0.0347	20	142	193	13	285	49
1984-36	8436	5.8065	4.8188	4.875	4	3.0741	2.6122	0.0348	32	141	192	14	311	50
1984-37	8437	5.7188	4.8511	4.7468	3.7222	3.0704	2.52	0.0349	34	149	169	19	358	52
1984-38	8438	5.6944	4.7597	4.7937	3.5	3.003	2.5397	0.035	39	138	197	14	355	64
1984-39	8439	5.575	4.8784	4.8396	3.8	3	2.451	0.0351	45	152	197	20	320	54
1984-40	8440	5.75	4.8378	4.6612	3.5714	2.9656	2.4107	0.0352	24	151	192	21	335	58
1984-41	8441	5.8276	4.7554	4.7386	3.5789	2.9854	2.6129	0.0353	32	145	183	21	299	64
1984-42	8442	5.55	4.8174	4.7943	3.8333	3.0129	2.3111	0.0354	21	118	145	7	252	47
1984-43	8443	5.2	4.8173	4.8045	3.7857	3.0185	2.5294	0.0355	23	106	184	15	283	52
1984-44	8444	5.7333	4.8382	4.6545	3.8235	3.0234	2.3265	0.0356	32	178	264	17	409	50
1984-45	8445	5.2432	4.9321	4.9801	4.2083	3.0087	2.459	0.0357	38	167	214	24	358	61
1984-46	8446	5.7778	4.9152	4.6126	3.4444	2.9602	2.4615	0.0358	29	173	203	18	342	66
1984-47	8447	5.8824	4.8889	4.7391	3.6	3.0903	2.3415	0.0359	35	163	220	16	318	42
1984-48	8448	6.0698	4.881	4.8689	3.3846	3.0743	2.6667	0.036	43	133	217	15	367	55
1984-49	8449	5.7917	4.9291	4.8042	3.5714	3.1165	2.2927	0.0361	25	147	199	23	325	43
1984-50	8450	5.7407	4.7902	4.6552	3.65	3.0278	2.5349	0.0362	28	154	181	21	333	47
1984-51	8451	5.75	4.8938	4.725	3.8	3.0564	2.64	0.0363	30	123	170	10	282	51
1984-52	8476	5.725	4.88135	4.8338	3.6778	3.04835	2.5343	0.0364	0	0	0	0	0	0
1985-1	8501	5.7	4.8689	4.9426	3.5556	3.0403	2.4286	0.0365	22	124	128	9	285	42
1985-2	8502	5.9231	4.9231	4.679	3.7857	3.1806	2.439	0.0366	27	95	168	15	304	41
1985-3	8503	5.9333	4.9963	4.7987	3.7727	3.0549	2.5333	0.0367	33	281	344	46	556	75
1985-4	8504	6.0313	4.8929	4.7386	3.5	3.125	2.3922	0.0368	33	117	182	15	340	52
1985-5	8505	5.6071	4.625	4.8305	3.6364	3.0729	2.5526	0.0369	30	125	188	23	306	39
1985-6	8506	5.7241	4.8409	4.71	3.6667	3.0644	2.2525	0.037	63	228	350	30	608	103
1985-7	8507	5.7143	4.871	4.9395	3.5357	3.017	2.3571	0.0371	37	161	227	30	430	57
1985-8	8508	5.7778	4.8942	4.7711	3.6296	2.9444	2.2632	0.0372	36	109	171	27	306	60
1985-9	8509	5.6279	4.897	4.6977	3.5	3.0952	2.4177	0.0373	47	239	324	31	608	83
1985-10	8510	5.0455	4.843	4.8171	3.8846	3.0789	2.3023	0.0374	23	125	178	26	375	45
1985-11	8511	5.6923	4.9065	4.7679	3.8095	2.9779	2.2037	0.0375	26	110	184	22	339	54
1985-12	8512	6.069	5.015	4.6497	3.7059	2.9927	2.4583	0.0376	30	136	161	17	289	50
1985-13	8513	5.875	4.8707	4.8434	3.75	2.9907	2.3492	0.0377	26	122	177	24	344	67
1985-14	8514	5.9091	4.896	4.8382	3.6667	2.9965	2.3333	0.0378	22	133	183	21	316	54
1985-15	8515	5.6842	4.9524	4.7543	3.625	3.0037	2.4545	0.0379	20	136	181	16	286	33
1985-16	8516	5.5833	4.9914	4.7389	3.5385	3.0732	2.02	0.038	24	120	165	27	336	52
1985-17	8517	6	4.9779	4.7609	3.5	2.9159	2.45	0.0381	25	140	193	12	340	61
1985-18	8518	6.2083	5.0593	4.8134	3.5385	3.1126	2.5893	0.0382	25	124	139	13	310	57
1985-19	8519	5.5385	4.9661	4.7867	3.4	3.0403	2.0444	0.0383	27	120	163	16	290	46
1985-20	8520	5.8947	4.8889	4.7443	3.75	3.0616	2.3651	0.0384	19	145	184	17	363	67
1985-21	8521	5.9268	4.8301	4.8571	3.6522	2.9673	2.2935	0.0385	43	214	301	25	479	93
1985-22	8522	5.8148	4.9421	4.7413	3.9	2.8636	2.3778	0.0386	28	121	151	10	297	49
1985-23	8523	5.75	4.9846	4.7394	3.8571	3.0476	2.4595	0.0387	31	133	173	7	270	38
1985-24	8524	5.7917	4.9595	4.8837	3.5882	2.9883	2.3393	0.0388	28	152	181	17	357	59
1985-25	8525	5.7083	5.1691	4.9591	3.8	2.9866	2.2841	0.0389	50	213	355	60	625	88
1985-26	8526	5.7391	4.9314	4.9294	3.8	2.9317	2.4717	0.039	24	104	179	40	308	55
1985-27	8527	5.7667	5.2137	4.9404	3.6774	3.0077	2.25	0.0391	30	120	159	32	280	36
1985-28	8528	6.0769	4.8904	4.8315	3.825	2.996	2.5957	0.0392	29	150	190	40	268	49
1985-29	8529	5.5625	5	4.8588	3.6774	2.961	2.4054	0.0393	17	101	177	33	239	40
1985-30	8530	6.0385	4.8769	4.8978	3.4211	2.9836	2.2439	0.0394	27	136	192	38	318	41
1985-31	8531	5.3889	5.0328	4.7469	3.6296	3.0981	2.381	0.0395	19	126	168	29	275	45
1985-32	8532	5.4348	4.8636	4.7447	3.8	3.0428	2.7347	0.0396	23	111	145	21	267	52
1985-33	8533	5.8333	4.9346	4.8503	3.6857	2.9493	2.1081	0.0397	25	114	171	36	236	37
1985-34	8534	6	4.9024	4.9063	3.7027	2.9601	2.3571	0.0398	29	125	202	39	319	30
1985-35	8535	5.4545	4.9496	4.7302	3.5714	2.8967	2.1935	0.0399	22	125	199	29	280	32
1985-36	8536	6.2105	4.9633	4.8777	3.5	3.0662	2.3182	0.04	22	111	195	34	297	44
1985-37	8537	6.0526	4.9773	4.7988	3.6667	3.0957	2.3947	0.0401	20	134	173	22	298	39
1985-38	8538	6.0385	4.9	4.6879	3.6471	2.8794	2.3871	0.0402	26	122	185	35	301	33
1985-39	8539	5.7778	4.9818	4.7758	3.7429	2.9262	2.4717	0.0403	29	169	234	36	389	53
1985-40	8540	6	5.0496	4.7219	3.5714	3.0147	2.6286	0.0404	22	126	171	29	284	35
1985-41	8541	5.4706	4.97	4.7688	3.5556	3.0184	2.2571	0.0405	17	101	168	30	232	39
1985-42	8542	5.8537	4.8725	4.7485	3.8545	2.9476	2.5286	0.0406	41	212	344	57	480	71
1985-43	8543	5.6	5.1418	4.7396	3.4571	2.9486	2.3095	0.0407	17	136	201	36	267	45
1985-44	8544	5.8966	4.9314	4.913	3.5882	2.7678	2.2308	0.0408	30	105	169	35	280	26
1985-45	8545	5.5385	4.8532	4.8086	3.8125	2.8482	2.4138	0.0409	13	114	218	33	274	32
1985-46	8546	5.6667	5.0775	4.8869	3.6585	2.935	2.4194	0.041	17	135	176	41	289	32
1985-47	8547	5.7143	5.0721	4.8206	3.6667	2.9828	2.3667	0.0411	21	118	233	34	308	31
1985-48	8548	5.5926	5.1377	4.8618	3.6047	3.0059	2.3333	0.0412	28	141	257	43	346	40
1985-49	8549	5.9091	4.9697	4.8297	3.7273	2.9259	2.5455	0.0413	22	100	193	22	284	35
1985-50	8550	5.7381	4.9202	4.7201	3.4783	2.882	2.3676	0.0414	44	219	384	74	619	71
1985-51	8551	5.5909	5	4.7826	3.7353	2.9654	2.1923	0.0415	22	119	217	35	278	27
1985-52	8576	5.61365	5.0443	4.81505	3.81925	2.9512	2.28135	0.0416	0	0	0	0	0	0
1986-1	8601	5.6364	5.0886	4.8475	3.9032	2.937	2.3704	0.0417	11	82	185	31	283	29
1986-2	8602	6.12	4.9412	4.7903	3.8333	2.9906	2.2917	0.0418	26	123	261	39	334	49
1986-3	8603	5.9063	4.9171	4.7203	3.4359	3.0196	2.1774	0.0419	35	196	470	39	536	63
1986-4	8604	5.9048	4.9303	4.7023	3.6207	2.9982	2.4746	0.042	44	249	461	59	586	63
1986-5	8605	5.6122	5.0258	4.8469	3.7361	3.0474	2.4462	0.0421	52	203	431	74	508	66
1986-6	8606	5.6765	4.9602	4.6886	3.9091	3.0561	2.6094	0.0422	37	202	365	57	526	64
1986-7	8607	5.8983	5.0377	4.7963	3.7037	3.0796	2.2903	0.0423	61	161	338	54	479	64
1986-8	8608	5.6429	4.8745	4.7136	3.8772	3.1134	2.411	0.0424	31	241	433	61	633	75
1986-9	8609	5.9483	4.9055	4.6976	3.7164	2.9892	2.2097	0.0425	60	208	430	68	601	64
1986-10	8610	5.7234	4.8155	4.7663	3.7887	3.0395	2.4839	0.0426	48	211	429	72	625	66
1986-11	8611	5.9231	4.8584	4.7139	3.68	3.0022	2.4706	0.0427	41	222	375	51	479	53
1986-12	8612	5.6	4.873	4.7775	3.7571	2.9097	2.32	0.0428	60	262	462	71	684	82
1986-13	8613	5.5333	4.96	4.812	3.6596	2.8814	2.2222	0.0429	47	235	440	98	720	45
1986-14	8614	5.66	4.9372	4.8029	3.5904	2.9803	2.4697	0.043	51	230	444	85	606	71
1986-15	8615	6.0263	5.0052	4.805	3.5857	3.0519	2.254	0.0431	41	199	414	70	580	64
1986-16	8616	5.9028	4.9828	4.7196	3.6966	3.0088	2.2949	0.0432	75	239	449	90	719	80
1986-17	8617	5.6308	4.8846	4.783	3.4756	3.0062	2.2308	0.0433	68	218	475	84	695	52
1986-18	8618	5.8205	5.0045	4.5358	3.4941	2.906	2.1452	0.0434	42	229	424	87	606	64
1986-19	8619	5.6522	4.8507	4.7646	3.7265	2.9557	2.411	0.0435	46	229	428	120	648	75
1986-20	8620	5.5122	4.8554	4.7855	3.6988	2.8984	2.2353	0.0436	41	176	360	86	469	53
1986-21	8621	5.6842	5	4.6813	3.6909	2.8403	2.4286	0.0437	40	247	546	115	636	60
1986-22	8622	6.0588	5.0155	4.7853	3.7946	2.8654	2.2418	0.0438	53	262	540	120	603	97
1986-23	8623	5.6842	5.0514	4.7097	3.5607	2.9431	2.3095	0.0439	45	221	622	112	582	84
1986-24	8624	5.9348	4.9901	4.679	3.6071	2.9679	2.131	0.044	49	217	511	114	503	86
1986-25	8625	5.7551	4.7885	4.6824	3.6847	2.9554	2.3723	0.0441	51	219	607	114	574	94
1986-26	8626	6.1333	4.9154	4.5373	3.6557	2.8721	2.3019	0.0442	33	135	352	64	318	55
1986-27	8627	5.8571	5.1134	4.6721	3.5273	3.0815	2.2143	0.0443	21	99	333	58	338	44
1986-28	8628	5.5	4.8054	4.8239	3.5893	2.9051	2.4444	0.0444	24	152	318	56	289	55
1986-29	8629	5.25	4.9844	4.8431	3.6792	2.9781	2.25	0.0445	17	134	266	56	289	41
1986-30	8630	5	4.9029	4.7401	3.7619	2.9511	2.1277	0.0446	11	107	295	44	332	48
1986-31	8631	5.7	5.141	4.7857	3.4783	2.9354	2.3889	0.0447	22	84	246	47	289	40
1986-32	8632	5.619	5.0233	4.8475	3.6042	2.9085	2.6429	0.0448	21	90	234	48	296	32
1986-33	8633	6.0455	5.084	4.7709	3.5938	3.0245	2.2791	0.0449	23	135	234	67	297	43
1986-34	8634	5.7	5.0179	4.7366	3.6038	3.0391	2.0488	0.045	31	114	271	55	297	44
1986-35	8635	5.84	4.9192	4.82	3.5645	2.9435	2.3889	0.0451	25	104	265	63	289	36
1986-36	8636	5.9	5.0894	4.8142	3.4889	2.8694	2.375	0.0452	23	125	240	49	257	33
1986-37	8637	5.7037	4.9515	4.7	3.6491	2.9724	2.3529	0.0453	27	106	283	58	263	34
1986-38	8638	5.9545	4.8889	4.7403	3.6731	2.9856	2.3784	0.0454	22	92	239	53	295	39
1986-39	8639	5.7895	4.95	4.6226	3.4386	3.0549	2.6364	0.0455	19	122	268	61	292	44
1986-40	8640	5.4	4.9506	4.7565	3.6744	2.9191	2.6154	0.0456	21	83	247	43	291	28
1986-41	8641	5.96	5.2278	4.7929	3.566	3.0428	2.3077	0.0457	25	80	209	55	271	39
1986-42	8642	5.7059	5.0313	4.8243	3.4839	3.0159	2.3846	0.0458	18	102	234	31	266	27
1986-43	8643	6.0556	5	4.6137	3.7381	2.9012	2.4231	0.0459	19	92	246	44	267	27
1986-44	8644	5.7333	4.9647	4.7756	3.375	2.9373	2.1351	0.046	31	86	261	36	279	40
1986-45	8645	5.75	5.0889	4.7455	3.5088	3.0789	2.1935	0.0461	17	90	229	57	298	32
1986-46	8646	5.7826	5.0412	4.6527	3.9167	3.0495	2.2941	0.0462	24	99	256	62	316	34
1986-47	8647	5.8261	4.98	4.7406	3.6604	2.9324	2.375	0.0463	24	101	275	55	315	33
1986-48	8648	5.625	5.0351	4.7213	3.6923	2.9493	2.3611	0.0464	24	117	251	54	312	37
1986-49	8649	5.4545	4.7573	4.7026	3.5455	3.0913	2.3429	0.0465	22	105	243	45	280	35
1986-50	8650	5.92	4.7845	4.7756	3.7193	3.0706	2.3548	0.0466	28	119	264	58	342	33
1986-51	8651	5.7692	4.9888	4.8224	3.9773	3.1811	1.871	0.0467	29	90	223	46	282	34
1986-52	8652	5.7333	4.975	4.6784	3.8293	2.996	2.3548	0.0468	16	81	237	43	256	32
1987-1	8677	5.4857	4.90055	4.71165	3.63035	3.05535	2.33915	0.0469	0	0	0	0	0	0
1987-2	8702	5.2381	4.8261	4.7449	3.4314	3.1147	2.3235	0.047	22	96	253	52	301	34
1987-3	8703	5.7857	4.93	4.713	3.5849	2.9765	2.2667	0.0471	28	101	226	55	315	30
1987-4	8704	5.8	5.0086	4.7434	3.7541	2.9805	2.3438	0.0472	36	116	279	62	334	32
1987-5	8705	5.7949	4.8944	4.8247	3.5326	2.9452	2.1837	0.0473	41	163	364	95	437	54
1987-6	8706	5.7273	4.88	4.72	3.7073	3.1142	2.6087	0.0474	22	102	234	43	305	47
1987-7	8707	5.6923	4.8839	4.8025	3.4821	3.0034	2.4167	0.0475	28	123	274	61	325	37
1987-8	8708	5.8261	4.84	4.7349	3.6	2.9281	2.3784	0.0476	24	126	309	66	347	37
1987-9	8709	5.8077	4.8803	4.7019	3.4386	3.0177	2.2889	0.0477	28	122	281	58	353	46
1987-10	8710	5.4211	4.7284	4.7143	3.7407	2.8773	2.0357	0.0478	22	86	210	57	234	29
1987-11	8711	5.8421	4.8097	4.8113	3.5526	2.9549	2.3056	0.0479	61	234	428	117	582	109
1987-12	8712	5.6667	4.9223	4.8562	3.6692	2.9103	2.3516	0.048	51	199	478	137	562	95
1987-13	8713	5.7813	4.7938	4.6683	3.65	2.874	2.5676	0.0481	34	100	216	66	271	37
1987-14	8714	5.5357	4.9158	4.8485	3.7167	2.8914	2.5102	0.0482	29	103	220	61	285	50
1987-15	8715	6.25	4.89	4.8333	3.5806	3.0241	2.6279	0.0483	29	109	235	67	312	45
1987-16	8716	5.7143	4.6923	4.8878	3.7015	3.1212	2.3111	0.0484	22	81	211	68	277	47
1987-17	8717	5.6087	4.7802	4.8048	3.4921	2.9157	2.2917	0.0485	24	94	217	66	270	49
1987-18	8718	5.6552	4.8333	4.7006	3.7419	3.0282	2.5854	0.0486	30	99	179	62	259	42
1987-19	8719	5.56	4.9417	4.7324	3.74	2.9857	2.6038	0.0487	25	105	218	51	293	53
1987-20	8720	5.4348	4.957	4.6986	3.6364	3.0365	2.4151	0.0488	28	95	226	58	287	54
1987-21	8721	5.8333	4.6341	4.5928	3.8103	3.0195	2.4103	0.0489	13	85	201	63	276	39
1987-22	8722	5.7333	4.9571	4.8168	3.6585	3.0122	2.5135	0.049	17	75	203	44	255	40
1987-23	8723	5.7143	4.8118	4.7914	3.72	3.0798	2.425	0.0491	29	90	194	51	231	40
1987-24	8724	5.6667	4.7789	4.6685	3.6216	3.0725	2.4118	0.0492	21	99	192	39	284	34
1987-25	8725	5.72	5	4.6228	3.641	3.1268	2.6452	0.0493	25	94	235	41	289	33
1987-26	8726	6.1053	4.8391	4.8533	3.7358	3.0895	2.5814	0.0494	20	89	191	56	267	44
1987-27	8727	5.75	4.8356	4.8844	3.6579	3.026	2.3077	0.0495	21	77	188	41	243	28
1987-28	8728	5.6538	5.0345	4.8122	3.7931	3.0038	2.4	0.0496	27	87	217	58	276	31
1987-29	8729	5.7778	4.7632	4.8271	3.5897	3.1733	2.3636	0.0497	21	79	224	39	238	33
1987-30	8730	5.6818	4.9718	4.6683	3.6739	3.045	2.7857	0.0498	22	73	210	49	234	29
1987-31	8731	5.4737	4.9429	4.7927	3.725	3.0596	2.4	0.0499	20	71	169	42	228	31
1987-32	8732	5.9412	4.8621	4.8232	3.7021	3.0491	2.7241	0.05	20	88	205	49	240	30
1987-33	8733	6	4.7778	4.8031	3.8036	3.0243	2.2963	0.0501	13	86	205	57	263	28
1987-34	8734	6.0345	4.7385	4.9218	3.7895	3.0372	2.359	0.0502	29	65	184	41	230	41
1987-35	8735	5.4828	5.0755	4.7964	3.7368	3.0165	2.3519	0.0503	30	111	229	43	319	57
1987-36	8736	5.9	4.8023	4.8299	3.6538	2.8824	2.2308	0.0504	21	92	213	56	266	27
1987-37	8737	5.7895	5.0238	4.8677	3.7632	3.07	2.2759	0.0505	20	85	199	39	219	32
1987-38	8738	5.8	5.0385	4.8054	3.5357	3.063	2.549	0.0506	37	113	234	58	297	53
1987-39	8739	5.6786	4.9407	4.7621	3.5686	3.0288	2.2273	0.0507	31	123	240	56	320	44
1987-40	8740	5.6	4.8875	4.8434	3.6136	3.0675	2.3846	0.0508	34	85	213	45	279	28
1987-41	8741	5.1176	4.8617	4.7323	3.5217	3.0597	2.6667	0.0509	18	102	207	46	284	49
1987-42	8742	5.5	4.8936	4.7455	3.5246	3.0779	2.1282	0.051	27	101	231	64	325	39
1987-43	8743	5.6667	4.6667	4.8131	3.6944	3.0775	2.2105	0.0511	21	75	221	72	283	40
1987-44	8744	5.8235	4.7857	4.7015	3.5091	3	2.4839	0.0512	37	102	211	58	271	33
1987-45	8745	5.56	4.8026	4.8041	3.5636	3.1088	2.3704	0.0513	25	78	205	55	248	29
1987-46	8746	5.5	4.8969	4.713	3.7097	3.1107	2.3611	0.0514	23	101	223	65	276	38
1987-47	8747	5.85	4.8434	4.7671	3.7	3.0669	2.6129	0.0515	20	86	230	62	304	31
1987-48	8748	5.9615	4.913	4.7868	3.7419	3.1314	2.1852	0.0516	27	92	201	63	248	28
